Date,Flight number,From,To,Dep time,Arr time,Duration,Airline,Aircraft,Registration,Seat number,Seat type,Flight class,Flight reason,Note,Dep_id,Arr_id,Airline_id,Aircraft_id,Cost_sgd
2022-01-01,,Brussels / Brussels (BRU/EBBR),Milan / Malpensa (MXP/LIMC),0:00:00,0:00:00,1:08:00, Ryanair, (),,,0,0,0,,403,1983,0,0,30.98
2022-01-03,,Bergamo / Orio Al Serio (BGY/LIME),Kyiv / Boryspil International Airport (KBP/UKBB),0:00:00,0:00:00,2:29:00, Ryanair, (),,,0,0,0,,293,1388,0,0,52.74
2022-01-11,FR7857,Lviv / Danylo Halytskyi International (LWO/UKLL),Bergamo / Orio Al Serio (BGY/LIME),0:00:00,0:00:00,1:48:00, Ryanair, (),,,0,0,0,,1720,293,0,0,337.82
2022-02-16,,Milan / Malpensa (MXP/LIMC),Athens / Eleftherios Venizelos (ATH/LGAV),0:00:00,0:00:00,2:18:00, Aegean, (),,,0,0,0,,1983,3583,0,0,91.24
2022-02-16,,Athens / Eleftherios Venizelos (ATH/LGAV),Tel Aviv / Ben Gurion (TLV/LLBG),0:00:00,0:00:00,1:51:00, Aegean, (),,,0,0,0,,3583,2962,0,0,91.24
2022-04-11,,Tel Aviv / Ben Gurion (TLV/LLBG),Zurich / Kloten (ZRH/LSZH),0:00:00,0:00:00,4:02:00, SWISS, (),,,0,0,0,,2962,3548,0,0,123.17
2022-04-12,,Zurich / Kloten (ZRH/LSZH),New York / John F Kennedy (JFK/KJFK),0:00:00,0:00:00,8:46:00, SWISS, (),,,0,0,0,,3548,1328,0,0,276.66
2022-04-17,,New York / John F Kennedy (JFK/KJFK),Geneva / Cointrin (GVA/LSGG),0:00:00,0:00:00,8:37:00, SWISS, (),,,0,0,0,,1328,1065,0,0,271.91
2022-04-18,,Geneva / Cointrin (GVA/LSGG),Zurich / Kloten (ZRH/LSZH),0:00:00,0:00:00,0:33:00, SWISS, (),,,0,0,0,,1065,3548,0,0,10.09
2022-04-19,,Zurich / Kloten (ZRH/LSZH),Tel Aviv / Ben Gurion (TLV/LLBG),0:00:00,0:00:00,4:02:00, SWISS, (),,,0,0,0,,3548,2962,0,0,123.17
